,YY,MM,DD,VAL
0,2016,12,31,76
1,2017,1,1,96
2,2017,1,2,59
3,2017,1,3,74
4,2017,1,4,29
5,2017,1,5,31
6,2017,1,6,55
7,2017,1,7,55
8,2017,1,8,83
9,2017,1,9,45
10,2017,1,10,44
11,2017,1,11,71
12,2017,1,12,42
13,2017,1,13,38
14,2017,1,14,33
15,2017,1,15,14
16,2017,1,16,13
17,2017,1,17,17
18,2017,1,18,24
19,2017,1,19,35
20,2017,1,20,56
21,2017,1,21,66
22,2017,1,22,47
23,2017,1,23,61
24,2017,1,24,43
25,2017,1,25,46
26,2017,1,26,57
27,2017,1,27,84
28,2017,1,28,121
29,2017,1,29,176
30,2017,1,30,177
31,2017,1,31,126
32,2017,2,1,88
33,2017,2,2,53
34,2017,2,3,32
35,2017,2,4,27
36,2017,2,5,8
37,2017,2,6,26
38,2017,2,7,25
39,2017,2,8,26
40,2017,2,9,25
41,2017,2,10,41
42,2017,2,11,65
43,2017,2,12,54
44,2017,2,13,51
45,2017,2,14,66
46,2017,2,15,65
47,2017,2,16,80
48,2017,2,17,48
49,2017,2,18,52
50,2017,2,19,58
51,2017,2,20,69
52,2017,2,21,92
53,2017,2,22,52
54,2017,2,23,55
55,2017,2,24,17
56,2017,2,25,37
57,2017,2,26,41
58,2017,2,27,30
59,2017,2,28,25
60,2017,3,1,31
61,2017,3,2,48
62,2017,3,3,29
63,2017,3,4,10
64,2017,3,5,27
65,2017,3,6,24
66,2017,3,7,20
67,2017,3,8,43
68,2017,3,9,30
69,2017,3,10,24
70,2017,3,11,31
71,2017,3,12,35
72,2017,3,13,60
73,2017,3,14,61
74,2017,3,15,50
75,2017,3,16,72
76,2017,3,17,74
77,2017,3,18,83
78,2017,3,19,50
79,2017,3,20,44
80,2017,3,21,39
81,2017,3,22,38
82,2017,3,23,38
83,2017,3,24,44
84,2017,3,25,20
85,2017,3,26,18
86,2017,3,27,36
87,2017,3,28,41
88,2017,3,29,43
89,2017,3,30,37
90,2017,3,31,37
91,2017,4,1,31
92,2017,4,2,29
93,2017,4,3,26
94,2017,4,4,16
95,2017,4,5,28
96,2017,4,6,17
97,2017,4,7,20
98,2017,4,8,21
99,2017,4,9,17
100,2017,4,10,23
101,2017,4,11,14
102,2017,4,12,30
103,2017,4,13,27
104,2017,4,14,27
105,2017,4,15,20
106,2017,4,16,6
107,2017,4,17,10
108,2017,4,18,8
109,2017,4,19,12
110,2017,4,20,17
111,2017,4,21,22
112,2017,4,22,26
113,2017,4,23,23
114,2017,4,24,26
115,2017,4,25,22
116,2017,4,26,29
117,2017,4,27,12
118,2017,4,28,10
119,2017,4,29,16
120,2017,4,30,21
121,2017,5,1,12
122,2017,5,2,12
123,2017,5,3,18
124,2017,5,4,22
125,2017,5,5,23
126,2017,5,6,12
127,2017,5,7,21
128,2017,5,8,12
129,2017,5,9,9
130,2017,5,10,17
131,2017,5,11,20
132,2017,5,12,16
133,2017,5,13,18
134,2017,5,14,8
135,2017,5,15,11
136,2017,5,16,19
137,2017,5,17,19
138,2017,5,18,15
139,2017,5,19,18
140,2017,5,20,14
141,2017,5,21,17
142,2017,5,22,26
143,2017,5,23,39
144,2017,5,24,12
145,2017,5,25,13
146,2017,5,26,16
147,2017,5,27,16
148,2017,5,28,20
149,2017,5,29,23
150,2017,5,30,27
151,2017,5,31,30
152,2017,6,1,28
153,2017,6,2,32
154,2017,6,3,21
155,2017,6,4,16
156,2017,6,5,18
157,2017,6,6,16
158,2017,6,7,12
159,2017,6,8,19
160,2017,6,9,30
161,2017,6,10,18
162,2017,6,11,18
163,2017,6,12,21
164,2017,6,13,22
165,2017,6,14,26
166,2017,6,15,40
167,2017,6,16,18
168,2017,6,17,15
169,2017,6,18,19
170,2017,6,19,25
171,2017,6,20,28
172,2017,6,21,34
173,2017,6,22,40
174,2017,6,23,35
175,2017,6,24,21
176,2017,6,25,19
177,2017,6,26,25
178,2017,6,27,20
179,2017,6,28,15
180,2017,6,29,16
181,2017,6,30,18
182,2017,7,1,15
183,2017,7,2,15
184,2017,7,3,14
185,2017,7,4,17
186,2017,7,5,21
187,2017,7,6,25
188,2017,7,7,27
189,2017,7,8,14
190,2017,7,9,24
191,2017,7,10,22
192,2017,7,11,23
193,2017,7,12,24
194,2017,7,13,14
195,2017,7,14,12
196,2017,7,15,12
197,2017,7,16,17
198,2017,7,17,22
199,2017,7,18,23
200,2017,7,19,29
201,2017,7,20,28
202,2017,7,21,30
203,2017,7,22,29
204,2017,7,23,21
205,2017,7,24,13
206,2017,7,25,17
207,2017,7,26,14
208,2017,7,27,18
209,2017,7,28,20
210,2017,7,29,13
211,2017,7,30,20
212,2017,7,31,25
213,2017,8,1,30
214,2017,8,2,30
215,2017,8,3,37
216,2017,8,4,39
217,2017,8,5,28
218,2017,8,6,15
219,2017,8,7,18
220,2017,8,8,24
221,2017,8,9,30
222,2017,8,10,20
223,2017,8,11,17
224,2017,8,12,14
225,2017,8,13,13
226,2017,8,14,13
227,2017,8,15,25
228,2017,8,16,24
229,2017,8,17,27
230,2017,8,18,24
231,2017,8,19,8
232,2017,8,20,12
233,2017,8,21,15
234,2017,8,22,17
235,2017,8,23,20
236,2017,8,24,20
237,2017,8,25,28
238,2017,8,26,34
239,2017,8,27,26
240,2017,8,28,18
241,2017,8,29,19
242,2017,8,30,24
243,2017,8,31,15
244,2017,9,1,12
245,2017,9,2,4
246,2017,9,3,15
247,2017,9,4,14
248,2017,9,5,18
249,2017,9,6,16
250,2017,9,7,11
