,YY,MM,DD,VAL
0,2017,12,31,49.0
1,2018,1,1,46.0
2,2018,1,2,48.0
3,2018,1,3,48.0
4,2018,1,4,58.0
5,2018,1,5,115.0
6,2018,1,6,60.0
7,2018,1,7,25.0
8,2018,1,8,30.0
9,2018,1,9,23.0
10,2018,1,10,35.0
11,2018,1,11,27.0
12,2018,1,12,42.0
13,2018,1,13,34.0
14,2018,1,14,41.0
15,2018,1,15,51.0
16,2018,1,16,33.0
17,2018,1,17,26.0
18,2018,1,18,58.0
19,2018,1,19,64.0
20,2018,1,20,48.0
21,2018,1,21,31.0
22,2018,1,22,45.0
23,2018,1,23,69.0
24,2018,1,24,91.0
25,2018,1,25,108.0
26,2018,1,26,83.0
27,2018,1,27,57.0
28,2018,1,28,48.0
29,2018,1,29,49.0
30,2018,1,30,55.0
31,2018,1,31,49.0
32,2018,2,1,19.0
33,2018,2,2,8.0
34,2018,2,3,29.0
35,2018,2,4,26.0
36,2018,2,5,23.0
37,2018,2,6,25.0
38,2018,2,7,49.0
39,2018,2,8,57.0
40,2018,2,9,39.0
41,2018,2,10,34.0
42,2018,2,11,28.0
43,2018,2,12,22.0
44,2018,2,13,39.0
45,2018,2,14,56.0
46,2018,2,15,76.0
47,2018,2,16,72.0
48,2018,2,17,42.0
49,2018,2,18,20.0
50,2018,2,19,24.0
51,2018,2,20,28.0
52,2018,2,21,11.0
53,2018,2,22,12.0
54,2018,2,23,18.0
55,2018,2,24,20.0
56,2018,2,25,17.0
57,2018,2,26,28.0
58,2018,2,27,42.0
59,2018,2,28,59.0
60,2018,3,1,92.0
61,2018,3,2,64.0
62,2018,3,3,42.0
63,2018,3,4,60.0
64,2018,3,5,40.0
65,2018,3,6,40.0
66,2018,3,7,40.0
67,2018,3,8,39.0
68,2018,3,9,55.0
69,2018,3,10,35.0
70,2018,3,11,24.0
71,2018,3,12,44.0
72,2018,3,13,62.0
73,2018,3,14,33.0
74,2018,3,15,17.0
75,2018,3,16,20.0
76,2018,3,17,8.0
77,2018,3,18,11.0
78,2018,3,19,21.0
79,2018,3,20,25.0
80,2018,3,21,27.0
81,2018,3,22,36.0
82,2018,3,23,29.0
83,2018,3,24,38.0
84,2018,3,25,55.0
85,2018,3,26,35.0
86,2018,3,27,40.0
87,2018,3,28,47.0
88,2018,3,29,35.0
89,2018,3,30,10.0
90,2018,3,31,14.0
