,YY,MM,DD,VAL
0,2020,12,31,44.0
1,2021,1,1,6.0
2,2021,1,2,19.0
3,2021,1,3,26.0
4,2021,1,4,26.0
5,2021,1,5,38.0
6,2021,1,6,38.0
7,2021,1,7,41.0
8,2021,1,8,22.0
9,2021,1,9,16.0
10,2021,1,10,34.0
11,2021,1,11,58.0
12,2021,1,12,67.0
13,2021,1,13,79.0
14,2021,1,14,25.0
15,2021,1,15,41.0
16,2021,1,16,70.0
17,2021,1,17,85.0
18,2021,1,18,76.0
19,2021,1,19,88.0
20,2021,1,20,83.0
21,2021,1,21,57.0
22,2021,1,22,9.0
23,2021,1,23,23.0
24,2021,1,24,30.0
25,2021,1,25,35.0
26,2021,1,26,46.0
27,2021,1,27,62.0
28,2021,1,28,67.0
29,2021,1,29,71.0
30,2021,1,30,15.0
31,2021,1,31,35.0
32,2021,2,1,62.0
33,2021,2,2,65.0
34,2021,2,3,60.0
35,2021,2,4,68.0
36,2021,2,5,63.0
37,2021,2,6,40.0
38,2021,2,7,18.0
39,2021,2,8,25.0
40,2021,2,9,21.0
41,2021,2,10,21.0
42,2021,2,11,19.0
43,2021,2,12,21.0
44,2021,2,13,32.0
45,2021,2,14,38.0
46,2021,2,15,52.0
47,2021,2,16,79.0
48,2021,2,17,80.0
49,2021,2,18,74.0
50,2021,2,19,84.0
51,2021,2,20,73.0
52,2021,2,21,38.0
53,2021,2,22,60.0
54,2021,2,23,78.0
55,2021,2,24,94.0
56,2021,2,25,95.0
57,2021,2,26,69.0
58,2021,2,27,19.0
59,2021,2,28,50.0
60,2021,3,1,46.0
61,2021,3,2,67.0
62,2021,3,3,84.0
63,2021,3,4,67.0
64,2021,3,5,16.0
65,2021,3,6,28.0
66,2021,3,7,35.0
67,2021,3,8,38.0
68,2021,3,9,37.0
69,2021,3,10,58.0
70,2021,3,11,68.0
71,2021,3,12,53.0
72,2021,3,13,30.0
73,2021,3,14,22.0
74,2021,3,15,11.0
75,2021,3,16,18.0
76,2021,3,17,16.0
77,2021,3,18,21.0
78,2021,3,19,26.0
79,2021,3,20,16.0
80,2021,3,21,28.0
81,2021,3,22,20.0
82,2021,3,23,31.0
83,2021,3,24,43.0
84,2021,3,25,36.0
85,2021,3,26,38.0
86,2021,3,27,42.0
87,2021,3,28,35.0
88,2021,3,29,49.0
89,2021,3,30,46.0
90,2021,3,31,62.0
91,2021,4,1,53.0
92,2021,4,2,24.0
93,2021,4,3,12.0
94,2021,4,4,11.0
95,2021,4,5,17.0
96,2021,4,6,12.0
97,2021,4,7,26.0
98,2021,4,8,29.0
99,2021,4,9,20.0
100,2021,4,10,14.0
101,2021,4,11,13.0
102,2021,4,12,6.0
103,2021,4,13,17.0
104,2021,4,14,0.0
105,2021,4,15,17.0
106,2021,4,16,15.0
107,2021,4,17,20.0
108,2021,4,18,16.0
109,2021,4,19,25.0
110,2021,4,20,21.0
111,2021,4,21,24.0
112,2021,4,22,16.0
113,2021,4,23,18.0
114,2021,4,24,19.0
115,2021,4,25,21.0
116,2021,4,26,20.0
117,2021,4,27,15.0
118,2021,4,28,24.0
119,2021,4,29,22.0
120,2021,4,30,21.0
121,2021,5,1,18.0
122,2021,5,2,4.0
123,2021,5,3,10.0
124,2021,5,4,13.0
125,2021,5,5,9.0
126,2021,5,6,13.0
127,2021,5,7,8.0
128,2021,5,8,9.0
129,2021,5,9,13.0
130,2021,5,10,14.0
131,2021,5,11,6.0
132,2021,5,12,20.0
133,2021,5,13,24.0
134,2021,5,14,21.0
135,2021,5,15,19.0
136,2021,5,16,12.0
137,2021,5,17,7.0
138,2021,5,18,10.0
139,2021,5,19,15.0
140,2021,5,20,11.0
141,2021,5,21,18.0
142,2021,5,22,9.0
143,2021,5,23,25.0
144,2021,5,24,27.0
145,2021,5,25,28.0
146,2021,5,26,23.0
147,2021,5,27,0.0
148,2021,5,28,0.0
149,2021,5,29,2.0
150,2021,5,30,6.0
151,2021,5,31,12.0
152,2021,6,1,14.0
153,2021,6,2,16.0
154,2021,6,3,21.0
155,2021,6,4,18.0
156,2021,6,5,19.0
157,2021,6,6,17.0
158,2021,6,7,21.0
159,2021,6,8,28.0
160,2021,6,9,14.0
161,2021,6,10,24.0
162,2021,6,11,17.0
163,2021,6,12,24.0
164,2021,6,13,12.0
165,2021,6,14,14.0
166,2021,6,15,24.0
167,2021,6,16,21.0
168,2021,6,17,21.0
169,2021,6,18,27.0
170,2021,6,19,42.0
171,2021,6,20,48.0
172,2021,6,21,33.0
173,2021,6,22,47.0
174,2021,6,23,31.0
175,2021,6,24,15.0
176,2021,6,25,14.0
177,2021,6,26,16.0
178,2021,6,27,22.0
179,2021,6,28,19.0
180,2021,6,29,18.0
181,2021,6,30,23.0
182,2021,7,1,20.0
183,2021,7,2,31.0
184,2021,7,3,29.0
185,2021,7,4,14.0
186,2021,7,5,13.0
187,2021,7,6,14.0
188,2021,7,7,18.0
189,2021,7,8,14.0
190,2021,7,9,21.0
191,2021,7,10,19.0
192,2021,7,11,16.0
193,2021,7,12,13.0
194,2021,7,13,13.0
195,2021,7,14,21.0
196,2021,7,15,18.0
197,2021,7,16,21.0
198,2021,7,17,16.0
199,2021,7,18,21.0
200,2021,7,19,24.0
201,2021,7,20,24.0
202,2021,7,21,21.0
203,2021,7,22,19.0
204,2021,7,23,22.0
205,2021,7,24,19.0
206,2021,7,25,30.0
207,2021,7,26,30.0
208,2021,7,27,24.0
209,2021,7,28,20.0
210,2021,7,29,0.0
211,2021,7,30,22.0
212,2021,7,31,18.0
213,2021,8,1,14.0
214,2021,8,2,16.0
215,2021,8,3,18.0
216,2021,8,4,15.0
217,2021,8,5,13.0
218,2021,8,6,17.0
219,2021,8,7,21.0
220,2021,8,8,21.0
221,2021,8,9,23.0
222,2021,8,10,32.0
223,2021,8,11,25.0
224,2021,8,12,26.0
225,2021,8,13,27.0
226,2021,8,14,23.0
227,2021,8,15,29.0
228,2021,8,16,20.0
229,2021,8,17,10.0
230,2021,8,18,0.0
231,2021,8,19,14.0
232,2021,8,20,21.0
233,2021,8,21,16.0
234,2021,8,22,14.0
235,2021,8,23,11.0
236,2021,8,24,0.0
237,2021,8,25,17.0
238,2021,8,26,11.0
239,2021,8,27,11.0
240,2021,8,28,6.0
241,2021,8,29,11.0
242,2021,8,30,11.0
243,2021,8,31,15.0
244,2021,9,1,21.0
245,2021,9,2,18.0
246,2021,9,3,22.0
247,2021,9,4,21.0
248,2021,9,5,21.0
249,2021,9,6,28.0
250,2021,9,7,28.0
251,2021,9,8,27.0
252,2021,9,9,28.0
253,2021,9,10,29.0
254,2021,9,11,24.0
255,2021,9,12,32.0
256,2021,9,13,41.0
257,2021,9,14,43.0
258,2021,9,15,37.0
259,2021,9,16,16.0
260,2021,9,17,14.0
261,2021,9,18,14.0
262,2021,9,19,20.0
263,2021,9,20,21.0
264,2021,9,21,23.0
265,2021,9,22,21.0
266,2021,9,23,24.0
267,2021,9,24,15.0
268,2021,9,25,21.0
269,2021,9,26,26.0
270,2021,9,27,20.0
271,2021,9,28,24.0
272,2021,9,29,0.0
273,2021,9,30,0.0
274,2021,10,1,25.0
275,2021,10,2,18.0
276,2021,10,3,18.0
277,2021,10,4,14.0
278,2021,10,5,15.0
279,2021,10,6,13.0
280,2021,10,7,17.0
281,2021,10,8,26.0
282,2021,10,9,24.0
283,2021,10,10,31.0
284,2021,10,11,26.0
285,2021,10,12,32.0
286,2021,10,13,13.0
287,2021,10,14,36.0
288,2021,10,15,33.0
289,2021,10,16,21.0
290,2021,10,17,0.0
291,2021,10,18,0.0
292,2021,10,19,73.0
293,2021,10,20,80.0
294,2021,10,21,55.0
295,2021,10,22,38.0
296,2021,10,23,16.0
297,2021,10,24,33.0
298,2021,10,25,35.0
299,2021,10,26,36.0
300,2021,10,27,42.0
301,2021,10,28,36.0
302,2021,10,29,57.0
303,2021,10,30,67.0
304,2021,10,31,62.0
305,2021,11,1,0.0
306,2021,11,2,22.0
307,2021,11,3,21.0
308,2021,11,4,0.0
309,2021,11,5,19.0
310,2021,11,6,0.0
311,2021,11,7,19.0
312,2021,11,8,13.0
313,2021,11,9,25.0
314,2021,11,10,44.0
315,2021,11,11,53.0
316,2021,11,12,56.0
317,2021,11,13,27.0
318,2021,11,14,22.0
319,2021,11,15,32.0
320,2021,11,16,48.0
321,2021,11,17,41.0
322,2021,11,18,48.0
323,2021,11,19,40.0
324,2021,11,20,19.0
325,2021,11,21,26.0
326,2021,11,22,12.0
327,2021,11,23,23.0
328,2021,11,24,20.0
329,2021,11,25,24.0
330,2021,11,26,32.0
331,2021,11,27,15.0
332,2021,11,28,22.0
333,2021,11,29,19.0
334,2021,11,30,32.0
335,2021,12,1,39.0
336,2021,12,2,22.0
337,2021,12,3,27.0
338,2021,12,4,38.0
339,2021,12,5,46.0
340,2021,12,6,56.0
341,2021,12,7,20.0
342,2021,12,8,29.0
343,2021,12,9,29.0
344,2021,12,10,38.0
345,2021,12,11,53.0
346,2021,12,12,68.0
347,2021,12,13,91.0
348,2021,12,14,78.0
349,2021,12,15,71.0
350,2021,12,16,64.0
351,2021,12,17,38.0
352,2021,12,18,33.0
353,2021,12,19,31.0
354,2021,12,20,31.0
355,2021,12,21,40.0
356,2021,12,22,46.0
357,2021,12,23,63.0
358,2021,12,24,58.0
359,2021,12,25,45.0
360,2021,12,26,53.0
361,2021,12,27,50.0
362,2021,12,28,54.0
363,2021,12,29,40.0
364,2021,12,30,23.0
