,YY,MM,DD,VAL
0,2013,12,31,65.0
1,2014,1,1,58.0
2,2014,1,2,42.0
3,2014,1,3,38.0
4,2014,1,4,16.0
5,2014,1,5,32.0
6,2014,1,6,57.0
7,2014,1,7,65.0
8,2014,1,8,71.0
9,2014,1,9,67.0
10,2014,1,10,86.0
11,2014,1,11,70.0
12,2014,1,12,83.0
13,2014,1,13,32.0
14,2014,1,14,31.0
15,2014,1,15,42.0
16,2014,1,16,33.0
17,2014,1,17,26.0
18,2014,1,18,27.0
19,2014,1,19,31.0
20,2014,1,20,42.0
21,2014,1,21,55.0
22,2014,1,22,49.0
23,2014,1,23,21.0
24,2014,1,24,29.0
25,2014,1,25,45.0
26,2014,1,26,33.0
27,2014,1,27,29.0
28,2014,1,28,39.0
29,2014,1,29,18.0
30,2014,1,30,27.0
31,2014,1,31,29.0
32,2014,2,1,26.0
33,2014,2,2,14.0
34,2014,2,3,19.0
35,2014,2,4,21.0
36,2014,2,5,19.0
37,2014,2,6,32.0
38,2014,2,7,27.0
39,2014,2,8,24.0
40,2014,2,9,12.0
41,2014,2,10,29.0
42,2014,2,11,40.0
43,2014,2,12,45.0
44,2014,2,13,29.0
45,2014,2,14,39.0
46,2014,2,15,49.0
47,2014,2,16,42.0
48,2014,2,17,35.0
49,2014,2,18,34.0
50,2014,2,19,14.0
51,2014,2,20,34.0
52,2014,2,21,11.0
53,2014,2,22,20.0
54,2014,2,23,39.0
55,2014,2,24,44.0
56,2014,2,25,40.0
57,2014,2,26,37.0
58,2014,2,27,26.0
59,2014,2,28,8.0
60,2014,3,1,17.0
61,2014,3,2,24.0
62,2014,3,3,16.0
63,2014,3,4,23.0
64,2014,3,5,29.0
65,2014,3,6,33.0
66,2014,3,7,41.0
67,2014,3,8,44.0
68,2014,3,9,31.0
69,2014,3,10,34.0
70,2014,3,11,50.0
71,2014,3,12,68.0
72,2014,3,13,81.0
73,2014,3,14,86.0
74,2014,3,15,77.0
75,2014,3,16,59.0
76,2014,3,17,78.0
77,2014,3,18,85.0
78,2014,3,19,66.0
79,2014,3,20,54.0
80,2014,3,21,38.0
81,2014,3,22,10.0
82,2014,3,23,5.0
83,2014,3,24,12.0
84,2014,3,25,14.0
85,2014,3,26,19.0
86,2014,3,27,27.0
87,2014,3,28,36.0
88,2014,3,29,40.0
89,2014,3,30,43.0
90,2014,3,31,27.0
91,2014,4,1,27.0
92,2014,4,2,0.0
93,2014,4,3,27.0
94,2014,4,4,27.0
95,2014,4,5,33.0
96,2014,4,6,38.0
97,2014,4,7,38.0
98,2014,4,8,20.0
99,2014,4,9,18.0
100,2014,4,10,16.0
101,2014,4,11,14.0
102,2014,4,12,14.0
103,2014,4,13,23.0
104,2014,4,14,12.0
105,2014,4,15,9.0
106,2014,4,16,13.0
107,2014,4,17,24.0
108,2014,4,18,19.0
109,2014,4,19,21.0
110,2014,4,20,16.0
111,2014,4,21,25.0
112,2014,4,22,26.0
113,2014,4,23,18.0
114,2014,4,24,18.0
115,2014,4,25,14.0
116,2014,4,26,13.0
117,2014,4,27,9.0
118,2014,4,28,12.0
119,2014,4,29,12.0
120,2014,4,30,18.0
121,2014,5,1,12.0
122,2014,5,2,13.0
123,2014,5,3,10.0
124,2014,5,4,13.0
125,2014,5,5,16.0
126,2014,5,6,22.0
127,2014,5,7,12.0
