,YY,MM,DD,VAL
0,2018,12,31,67.0
1,2019,1,1,51.0
2,2019,1,2,29.0
3,2019,1,3,49.0
4,2019,1,4,83.0
5,2019,1,5,98.0
6,2019,1,6,81.0
7,2019,1,7,67.0
8,2019,1,8,50.0
9,2019,1,9,43.0
10,2019,1,10,56.0
11,2019,1,11,68.0
12,2019,1,12,88.0
13,2019,1,13,70.0
14,2019,1,14,32.0
15,2019,1,15,71.0
16,2019,1,16,73.0
17,2019,1,17,45.0
18,2019,1,18,25.0
19,2019,1,19,51.0
20,2019,1,20,57.0
21,2019,1,21,39.0
22,2019,1,22,24.0
23,2019,1,23,32.0
24,2019,1,24,47.0
25,2019,1,25,86.0
26,2019,1,26,71.0
27,2019,1,27,63.0
28,2019,1,28,40.0
29,2019,1,29,26.0
30,2019,1,30,39.0
31,2019,1,31,26.0
32,2019,2,1,32.0
33,2019,2,2,37.0
34,2019,2,3,29.0
35,2019,2,4,38.0
36,2019,2,5,53.0
37,2019,2,6,73.0
38,2019,2,7,83.0
39,2019,2,8,90.0
40,2019,2,9,106.0
41,2019,2,10,44.0
42,2019,2,11,18.0
43,2019,2,12,31.0
44,2019,2,13,65.0
45,2019,2,14,84.0
46,2019,2,15,91.0
47,2019,2,16,107.0
48,2019,2,17,112.0
49,2019,2,18,100.0
50,2019,2,19,114.0
51,2019,2,20,96.0
52,2019,2,21,112.0
53,2019,2,22,32.0
54,2019,2,23,33.0
55,2019,2,24,64.0
56,2019,2,25,74.0
57,2019,2,26,72.0
58,2019,2,27,73.0
59,2019,2,28,63.0
60,2019,3,1,79.0
61,2019,3,2,73.0
62,2019,3,3,70.0
63,2019,3,4,65.0
64,2019,3,5,53.0
65,2019,3,6,57.0
66,2019,3,7,28.0
67,2019,3,8,25.0
68,2019,3,9,33.0
69,2019,3,10,36.0
70,2019,3,11,13.0
71,2019,3,12,24.0
72,2019,3,13,40.0
73,2019,3,14,46.0
74,2019,3,15,0.0
75,2019,3,16,0.0
76,2019,3,17,0.0
77,2019,3,18,0.0
78,2019,3,19,14.0
79,2019,3,20,23.0
80,2019,3,21,40.0
81,2019,3,22,37.0
82,2019,3,23,37.0
83,2019,3,24,0.0
84,2019,3,25,9.0
85,2019,3,26,18.0
86,2019,3,27,13.0
87,2019,3,28,21.0
88,2019,3,29,41.0
89,2019,3,30,46.0
90,2019,3,31,39.0
91,2019,4,1,38.0
92,2019,4,2,25.0
93,2019,4,3,0.0
94,2019,4,4,17.0
95,2019,4,5,23.0
96,2019,4,6,24.0
97,2019,4,7,0.0
98,2019,4,8,0.0
99,2019,4,9,31.0
100,2019,4,10,12.0
101,2019,4,11,13.0
102,2019,4,12,30.0
103,2019,4,13,26.0
104,2019,4,14,19.0
105,2019,4,15,35.0
106,2019,4,16,40.0
107,2019,4,17,31.0
108,2019,4,18,18.0
109,2019,4,19,23.0
110,2019,4,20,21.0
111,2019,4,21,30.0
112,2019,4,22,27.0
113,2019,4,23,35.0
114,2019,4,24,57.0
115,2019,4,25,47.0
116,2019,4,26,11.0
117,2019,4,27,9.0
118,2019,4,28,6.0
119,2019,4,29,17.0
120,2019,4,30,18.0
121,2019,5,1,16.0
122,2019,5,2,10.0
123,2019,5,3,15.0
124,2019,5,4,5.0
125,2019,5,5,7.0
126,2019,5,6,12.0
127,2019,5,7,21.0
128,2019,5,8,12.0
129,2019,5,9,13.0
130,2019,5,10,16.0
131,2019,5,11,4.0
132,2019,5,12,9.0
133,2019,5,13,14.0
134,2019,5,14,11.0
135,2019,5,15,15.0
136,2019,5,16,11.0
137,2019,5,17,11.0
138,2019,5,18,10.0
139,2019,5,19,11.0
140,2019,5,20,19.0
141,2019,5,21,21.0
142,2019,5,22,19.0
143,2019,5,23,16.0
144,2019,5,24,22.0
145,2019,5,25,21.0
146,2019,5,26,10.0
147,2019,5,27,14.0
148,2019,5,28,6.0
149,2019,5,29,10.0
150,2019,5,30,11.0
151,2019,5,31,15.0
152,2019,6,1,17.0
153,2019,6,2,20.0
154,2019,6,3,26.0
155,2019,6,4,35.0
156,2019,6,5,30.0
157,2019,6,6,29.0
158,2019,6,7,35.0
