,YY,MM,DD,VAL
0,2019,12,31,83.0
1,2020,1,1,73.0
2,2020,1,2,81.0
3,2020,1,3,72.0
4,2020,1,4,53.0
5,2020,1,5,50.0
6,2020,1,6,46.0
7,2020,1,7,35.0
8,2020,1,8,43.0
9,2020,1,9,65.0
10,2020,1,10,83.0
11,2020,1,11,50.0
12,2020,1,12,54.0
13,2020,1,13,70.0
14,2020,1,14,98.0
15,2020,1,15,101.0
16,2020,1,16,68.0
17,2020,1,17,47.0
18,2020,1,18,23.0
19,2020,1,19,19.0
20,2020,1,20,33.0
21,2020,1,21,54.0
22,2020,1,22,66.0
23,2020,1,23,83.0
24,2020,1,24,80.0
25,2020,1,25,83.0
26,2020,1,26,62.0
27,2020,1,27,80.0
28,2020,1,28,49.0
29,2020,1,29,45.0
30,2020,1,30,75.0
31,2020,1,31,94.0
32,2020,2,1,73.0
33,2020,2,2,56.0
34,2020,2,3,29.0
35,2020,2,4,8.0
36,2020,2,5,24.0
37,2020,2,6,50.0
38,2020,2,7,70.0
39,2020,2,8,87.0
40,2020,2,9,75.0
41,2020,2,10,55.0
42,2020,2,11,40.0
43,2020,2,12,46.0
44,2020,2,13,45.0
45,2020,2,14,45.0
46,2020,2,15,41.0
47,2020,2,16,74.0
48,2020,2,17,77.0
49,2020,2,18,47.0
50,2020,2,19,45.0
51,2020,2,20,35.0
52,2020,2,21,54.0
53,2020,2,22,83.0
54,2020,2,23,88.0
55,2020,2,24,79.0
56,2020,2,25,37.0
57,2020,2,26,17.0
58,2020,2,27,15.0
59,2020,2,28,39.0
60,2020,2,29,25.0
61,2020,3,1,34.0
62,2020,3,2,14.0
63,2020,3,3,12.0
64,2020,3,4,26.0
65,2020,3,5,16.0
66,2020,3,6,26.0
67,2020,3,7,9.0
68,2020,3,8,27.0
69,2020,3,9,34.0
70,2020,3,10,56.0
71,2020,3,11,74.0
72,2020,3,12,59.0
73,2020,3,13,12.0
74,2020,3,14,13.0
75,2020,3,15,24.0
76,2020,3,16,28.0
77,2020,3,17,40.0
78,2020,3,18,52.0
79,2020,3,19,43.0
80,2020,3,20,45.0
81,2020,3,21,16.0
82,2020,3,22,12.0
83,2020,3,23,20.0
84,2020,3,24,17.0
85,2020,3,25,19.0
86,2020,3,26,94.0
87,2020,3,27,111.0
88,2020,3,28,117.0
89,2020,3,29,39.0
90,2020,3,30,11.0
91,2020,3,31,17.0
92,2020,4,1,28.0
93,2020,4,2,38.0
94,2020,4,3,41.0
95,2020,4,4,26.0
96,2020,4,5,33.0
97,2020,4,6,32.0
98,2020,4,7,26.0
99,2020,4,8,28.0
100,2020,4,9,35.0
101,2020,4,10,33.0
102,2020,4,11,30.0
103,2020,4,12,20.0
104,2020,4,13,19.0
105,2020,4,14,14.0
106,2020,4,15,20.0
107,2020,4,16,25.0
108,2020,4,17,23.0
109,2020,4,18,20.0
110,2020,4,19,16.0
111,2020,4,20,18.0
112,2020,4,21,18.0
113,2020,4,22,27.0
114,2020,4,23,25.0
115,2020,4,24,24.0
116,2020,4,25,21.0
117,2020,4,26,18.0
118,2020,4,27,14.0
119,2020,4,28,8.0
120,2020,4,29,11.0
121,2020,4,30,9.0
122,2020,5,1,15.0
123,2020,5,2,7.0
124,2020,5,3,9.0
125,2020,5,4,14.0
126,2020,5,5,15.0
127,2020,5,6,14.0
128,2020,5,7,16.0
129,2020,5,8,17.0
130,2020,5,9,19.0
131,2020,5,10,10.0
132,2020,5,11,10.0
133,2020,5,12,17.0
134,2020,5,13,27.0
135,2020,5,14,19.0
136,2020,5,15,22.0
137,2020,5,16,16.0
138,2020,5,17,24.0
139,2020,5,18,21.0
140,2020,5,19,17.0
141,2020,5,20,17.0
142,2020,5,21,17.0
143,2020,5,22,19.0
144,2020,5,23,9.0
145,2020,5,24,13.0
146,2020,5,25,13.0
147,2020,5,26,11.0
148,2020,5,27,16.0
149,2020,5,28,10.0
150,2020,5,29,14.0
151,2020,5,30,11.0
152,2020,5,31,12.0
153,2020,6,1,16.0
154,2020,6,2,17.0
155,2020,6,3,12.0
156,2020,6,4,10.0
157,2020,6,5,16.0
158,2020,6,6,13.0
159,2020,6,7,10.0
160,2020,6,8,10.0
161,2020,6,9,12.0
162,2020,6,10,10.0
163,2020,6,11,12.0
164,2020,6,12,14.0
165,2020,6,13,9.0
166,2020,6,14,9.0
167,2020,6,15,14.0
168,2020,6,16,14.0
169,2020,6,17,15.0
170,2020,6,18,13.0
171,2020,6,19,12.0
172,2020,6,20,13.0
173,2020,6,21,17.0
174,2020,6,22,23.0
175,2020,6,23,19.0
176,2020,6,24,17.0
177,2020,6,25,16.0
178,2020,6,26,22.0
179,2020,6,27,26.0
180,2020,6,28,23.0
181,2020,6,29,20.0
182,2020,6,30,19.0
183,2020,7,1,15.0
184,2020,7,2,10.0
185,2020,7,3,11.0
186,2020,7,4,15.0
187,2020,7,5,19.0
188,2020,7,6,12.0
189,2020,7,7,16.0
190,2020,7,8,18.0
191,2020,7,9,23.0
192,2020,7,10,17.0
193,2020,7,11,8.0
194,2020,7,12,10.0
195,2020,7,13,14.0
196,2020,7,14,17.0
197,2020,7,15,18.0
198,2020,7,16,12.0
199,2020,7,17,7.0
200,2020,7,18,9.0
201,2020,7,19,12.0
202,2020,7,20,16.0
203,2020,7,21,22.0
204,2020,7,22,11.0
205,2020,7,23,8.0
206,2020,7,24,11.0
207,2020,7,25,13.0
208,2020,7,26,15.0
209,2020,7,27,18.0
210,2020,7,28,20.0
211,2020,7,29,28.0
