,YY,MM,DD,VAL
0,2015,12,31,68.0
1,2016,1,1,44.0
2,2016,1,2,31.0
3,2016,1,3,36.0
4,2016,1,4,38.0
5,2016,1,5,50.0
6,2016,1,6,55.0
7,2016,1,7,69.0
8,2016,1,8,63.0
9,2016,1,9,39.0
10,2016,1,10,34.0
11,2016,1,11,19.0
12,2016,1,12,23.0
13,2016,1,13,41.0
14,2016,1,14,47.0
15,2016,1,15,42.0
16,2016,1,16,24.0
17,2016,1,17,28.0
18,2016,1,18,53.0
19,2016,1,19,76.0
20,2016,1,20,77.0
21,2016,1,21,66.0
22,2016,1,22,107.0
23,2016,1,23,127.0
24,2016,1,24,155.0
25,2016,1,25,159.0
26,2016,1,26,175.0
27,2016,1,27,162.0
28,2016,1,28,178.0
29,2016,1,29,183.0
30,2016,1,30,73.0
31,2016,1,31,70.0
32,2016,2,1,83.0
33,2016,2,2,54.0
34,2016,2,3,16.0
35,2016,2,4,32.0
36,2016,2,5,37.0
37,2016,2,6,39.0
38,2016,2,7,29.0
39,2016,2,8,42.0
40,2016,2,9,10.0
41,2016,2,10,32.0
42,2016,2,11,26.0
43,2016,2,12,42.0
44,2016,2,13,38.0
45,2016,2,14,27.0
46,2016,2,15,5.0
47,2016,2,16,9.0
48,2016,2,17,29.0
49,2016,2,18,25.0
50,2016,2,19,22.0
51,2016,2,20,45.0
52,2016,2,21,67.0
53,2016,2,22,64.0
54,2016,2,23,9.0
55,2016,2,24,22.0
56,2016,2,25,30.0
57,2016,2,26,14.0
58,2016,2,27,15.0
59,2016,2,28,9.0
60,2016,2,29,19.0
61,2016,3,1,16.0
62,2016,3,2,5.0
63,2016,3,3,19.0
64,2016,3,4,23.0
65,2016,3,5,25.0
66,2016,3,6,32.0
67,2016,3,7,15.0
68,2016,3,8,12.0
69,2016,3,9,26.0
70,2016,3,10,25.0
71,2016,3,11,21.0
72,2016,3,12,14.0
73,2016,3,13,19.0
74,2016,3,14,35.0
75,2016,3,15,13.0
76,2016,3,16,30.0
77,2016,3,17,48.0
78,2016,3,18,58.0
79,2016,3,19,73.0
80,2016,3,20,49.0
81,2016,3,21,30.0
82,2016,3,22,25.0
83,2016,3,23,28.0
84,2016,3,24,26.0
85,2016,3,25,40.0
86,2016,3,26,36.0
87,2016,3,27,32.0
88,2016,3,28,30.0
89,2016,3,29,34.0
90,2016,3,30,41.0
91,2016,3,31,41.0
92,2016,4,1,38.0
93,2016,4,2,36.0
94,2016,4,3,35.0
95,2016,4,4,46.0
96,2016,4,5,46.0
97,2016,4,6,36.0
98,2016,4,7,38.0
99,2016,4,8,10.0
100,2016,4,9,19.0
101,2016,4,10,20.0
102,2016,4,11,20.0
103,2016,4,12,30.0
104,2016,4,13,11.0
105,2016,4,14,16.0
