,VAL
0,84.0
1,59.0
2,50.0
3,76.0
4,77.0
5,185.0
6,85.0
7,46.0
8,58.0
9,70.0
10,64.0
11,57.0
12,40.0
13,25.0
14,23.0
15,7.0
16,18.0
17,39.0
18,49.0
19,23.0
20,42.0
21,0.0
22,25.0
23,23.0
24,23.0
25,52.0
26,63.0
27,61.0
28,63.0
29,0.0
30,59.0
31,75.0
32,37.0
33,10.0
34,30.0
35,55.0
36,44.0
37,31.0
38,44.0
39,36.0
40,18.0
41,0.0
42,37.0
43,50.0
44,0.0
45,69.0
46,57.0
47,33.0
48,34.0
49,76.0
50,0.0
51,13.0
52,0.0
53,35.0
54,22.0
55,33.0
56,35.0
57,42.0
58,44.0
59,56.0
60,46.0
61,72.0
62,71.0
63,57.0
64,31.0
65,24.0
66,41.0
67,37.0
68,30.0
69,39.0
70,0.0
71,15.0
72,12.0
73,17.0
74,23.0
75,31.0
76,14.0
77,0.0
78,44.0
79,34.0
80,31.0
81,35.0
82,24.0
83,19.0
84,24.0
85,29.0
86,40.0
87,34.0
88,31.0
89,15.0
90,15.0
91,15.0
92,15.0
93,18.0
94,13.0
95,18.0
96,18.0
97,16.0
98,27.0
99,35.0
100,29.0
101,28.0
102,26.0
103,35.0
104,34.0
105,29.0
106,32.0
107,52.0
108,41.0
109,31.0
110,0.0
111,0.0
112,0.0
113,0.0
114,16.0
115,15.0
116,33.0
117,23.0
118,34.0
119,40.0
120,40.0
121,38.0
122,0.0
123,44.0
124,39.0
125,14.0
126,26.0
127,24.0
128,30.0
129,30.0
130,12.0
131,10.0
132,12.0
133,13.0
134,16.0
135,0.0
136,0.0
137,0.0
138,0.0
139,9.0
140,13.0
141,14.0
142,12.0
143,7.0
144,10.0
145,8.0
146,16.0
147,16.0
148,14.0
149,13.0
150,16.0
151,18.0
152,19.0
153,10.0
154,18.0
155,15.0
156,22.0
157,17.0
158,19.0
159,22.0
160,21.0
161,31.0
162,31.0
163,24.0
164,22.0
165,26.0
166,28.0
167,25.0
168,29.0
169,26.0
170,29.0
171,25.0
172,21.0
173,19.0
174,12.0
175,13.0
176,12.0
177,12.0
178,13.0
179,31.0
180,27.0
181,14.0
182,17.0
183,50.0
184,35.0
185,21.0
186,20.0
187,18.0
188,26.0
189,29.0
190,29.0
191,32.0
192,22.0
193,0.0
194,0.0
195,0.0
196,23.0
197,22.0
198,24.0
199,26.0
200,32.0
201,30.0
202,26.0
203,28.0
204,27.0
205,29.0
206,34.0
207,35.0
208,24.0
209,23.0
210,10.0
211,15.0
212,22.0
213,21.0
214,32.0
215,28.0
216,31.0
217,56.0
218,38.0
219,42.0
220,25.0
221,18.0
222,18.0
223,23.0
224,27.0
225,13.0
226,16.0
227,21.0
228,23.0
229,26.0
230,26.0
231,11.0
232,25.0
233,34.0
234,28.0
235,19.0
236,10.0
237,10.0
238,10.0
239,12.0
240,13.0
241,15.0
242,18.0
243,19.0
244,13.0
245,21.0
246,19.0
247,14.0
248,19.0
249,22.0
250,24.0
251,23.0
252,21.0
253,14.0
254,16.0
255,21.0
256,28.0
257,40.0
258,23.0
259,15.0
260,19.0
261,35.0
262,16.0
263,20.0
264,20.0
265,29.0
266,53.0
267,41.0
268,30.0
269,47.0
270,49.0
271,24.0
272,9.0
273,16.0
274,21.0
275,29.0
276,25.0
277,30.0
278,18.0
279,25.0
280,36.0
281,50.0
282,33.0
283,12.0
284,17.0
285,24.0
286,45.0
287,55.0
288,0.0
289,55.0
290,54.0
291,63.0
292,0.0
293,63.0
294,52.0
295,36.0
296,19.0
297,0.0
298,49.0
299,30.0
300,47.0
301,36.0
302,27.0
303,0.0
304,41.0
305,58.0
306,59.0
307,31.0
308,28.0
309,53.0
310,57.0
311,69.0
312,52.0
313,31.0
314,14.0
315,20.0
316,29.0
317,23.0
318,0.0
319,0.0
320,0.0
321,0.0
322,21.0
323,23.0
324,13.0
325,12.0
326,9.0
327,18.0
328,22.0
329,29.0
330,31.0
331,35.0
