,VAL
0,210.7913844413679
1,210.7913844413679
2,187.54865173495594
3,169.6554524396767
4,210.7913844413679
5,210.7913844413679
6,210.7913844413679
7,210.7913844413679
8,210.7913844413679
9,187.54865173495594
10,169.6554524396767
11,210.7913844413679
12,210.7913844413679
13,210.7913844413679
14,210.7913844413679
15,210.7913844413679
16,187.54865173495594
17,169.6554524396767
18,210.7913844413679
19,210.7913844413679
20,210.7913844413679
21,210.7913844413679
22,210.7913844413679
23,187.54865173495594
24,169.6554524396767
25,210.7913844413679
26,210.7913844413679
27,210.7913844413679
28,210.7913844413679
29,210.7913844413679
30,187.54865173495594
31,170.9673528346139
32,213.06343743434275
33,213.06343743434275
34,213.06343743434275
35,213.06343743434275
36,213.06343743434275
37,189.10361167332772
38,170.9673528346139
39,213.06343743434275
40,213.06343743434275
41,213.06343743434275
42,213.06343743434275
43,213.06343743434275
44,189.10361167332772
45,170.9673528346139
46,213.06343743434275
47,213.06343743434275
48,213.06343743434275
49,213.06343743434275
50,213.06343743434275
51,189.10361167332772
52,170.9673528346139
53,213.06343743434275
54,213.06343743434275
55,213.06343743434275
56,213.06343743434275
57,213.06343743434275
58,189.10361167332772
59,148.16436010283115
60,185.95667269492077
61,185.95667269492077
62,185.95667269492077
63,185.95667269492077
64,185.95667269492077
65,162.18430984442102
66,148.16436010283115
67,185.95667269492077
68,185.95667269492077
69,185.95667269492077
70,185.95667269492077
71,185.95667269492077
72,162.18430984442102
73,148.16436010283115
74,185.95667269492077
75,185.95667269492077
76,185.95667269492077
77,185.95667269492077
78,185.95667269492077
79,162.18430984442102
80,148.16436010283115
81,185.95667269492077
82,185.95667269492077
83,185.95667269492077
84,185.95667269492077
85,185.95667269492077
86,162.18430984442102
87,148.16436010283115
88,185.95667269492077
89,185.95667269492077
90,174.3775995079568
91,174.3775995079568
92,174.3775995079568
93,151.83758076752943
94,139.84833847326416
95,174.3775995079568
96,174.3775995079568
97,174.3775995079568
98,174.3775995079568
99,174.3775995079568
100,151.83758076752943
101,139.84833847326416
102,174.3775995079568
103,174.3775995079568
104,174.3775995079568
105,174.3775995079568
106,174.3775995079568
107,151.83758076752943
108,139.84833847326416
109,174.3775995079568
110,174.3775995079568
111,174.3775995079568
112,174.3775995079568
113,174.3775995079568
114,151.83758076752943
115,139.84833847326416
116,174.3775995079568
117,174.3775995079568
118,174.3775995079568
119,174.3775995079568
120,126.73342497218093
121,106.33778735795596
122,97.78611214073555
123,126.73342497218093
124,126.73342497218093
125,126.73342497218093
126,126.73342497218093
127,126.73342497218093
128,106.33778735795596
129,97.78611214073555
130,126.73342497218093
131,126.73342497218093
132,126.73342497218093
133,126.73342497218093
134,126.73342497218093
135,106.33778735795596
136,97.78611214073555
137,126.73342497218093
138,126.73342497218093
139,126.73342497218093
140,126.73342497218093
141,126.73342497218093
142,106.33778735795596
143,97.78611214073555
144,126.73342497218093
145,126.73342497218093
146,126.73342497218093
147,126.73342497218093
148,126.73342497218093
149,106.33778735795596
150,97.78611214073555
151,148.149971275325
152,148.149971275325
153,148.149971275325
154,148.149971275325
155,148.149971275325
156,114.79422996296691
157,108.30911574090315
158,148.149971275325
159,148.149971275325
160,148.149971275325
161,148.149971275325
162,148.149971275325
163,114.79422996296691
164,108.30911574090315
165,148.149971275325
166,148.149971275325
167,148.149971275325
168,148.149971275325
169,148.149971275325
170,114.79422996296691
171,108.30911574090315
172,148.149971275325
173,148.149971275325
174,148.149971275325
175,148.149971275325
176,148.149971275325
177,114.79422996296691
178,108.30911574090315
179,148.149971275325
180,148.149971275325
181,148.0398615301977
182,148.0398615301977
183,148.0398615301977
184,114.67939488290197
185,108.2021668214588
186,148.0398615301977
187,148.0398615301977
188,148.0398615301977
189,148.0398615301977
190,148.0398615301977
191,114.67939488290197
192,108.2021668214588
193,148.0398615301977
194,148.0398615301977
195,148.0398615301977
196,148.0398615301977
197,148.0398615301977
198,114.67939488290197
199,108.2021668214588
200,148.0398615301977
201,148.0398615301977
202,148.0398615301977
203,148.0398615301977
204,148.0398615301977
205,114.67939488290197
206,108.2021668214588
207,148.0398615301977
208,148.0398615301977
209,148.0398615301977
210,148.0398615301977
211,148.0398615301977
212,109.20242884426182
213,103.2849512809995
214,139.45722739472936
215,139.45722739472936
216,139.45722739472936
217,139.45722739472936
218,139.45722739472936
219,109.20242884426182
220,103.2849512809995
221,139.45722739472936
222,139.45722739472936
223,139.45722739472936
224,139.45722739472936
225,139.45722739472936
226,109.20242884426182
227,103.2849512809995
228,139.45722739472936
229,139.45722739472936
230,139.45722739472936
231,139.45722739472936
232,139.45722739472936
233,109.20242884426182
234,103.2849512809995
235,139.45722739472936
236,139.45722739472936
237,139.45722739472936
238,139.45722739472936
239,139.45722739472936
240,109.20242884426182
241,103.2849512809995
242,139.45722739472936
243,125.54542376027592
244,125.54542376027592
245,125.54542376027592
246,125.54542376027592
247,106.49166270940316
248,95.91759376282133
249,125.54542376027592
250,125.54542376027592
251,125.54542376027592
252,125.54542376027592
253,125.54542376027592
254,106.49166270940316
255,95.91759376282133
256,125.54542376027592
257,125.54542376027592
258,125.54542376027592
259,125.54542376027592
260,125.54542376027592
261,106.49166270940316
262,95.91759376282133
263,125.54542376027592
264,125.54542376027592
265,125.54542376027592
266,125.54542376027592
267,125.54542376027592
268,106.49166270940316
269,95.91759376282133
270,125.54542376027592
271,125.54542376027592
272,125.54542376027592
273,168.67688705689994
274,168.67688705689994
275,147.74336249711277
276,133.9600297950664
277,168.67688705689994
278,168.67688705689994
279,168.67688705689994
280,168.67688705689994
281,168.67688705689994
282,147.74336249711277
283,133.9600297950664
284,168.67688705689994
285,168.67688705689994
286,168.67688705689994
287,168.67688705689994
288,168.67688705689994
289,147.74336249711277
290,133.9600297950664
291,168.67688705689994
292,168.67688705689994
293,168.67688705689994
294,168.67688705689994
295,168.67688705689994
296,147.74336249711277
297,133.9600297950664
298,168.67688705689994
299,168.67688705689994
300,168.67688705689994
301,168.67688705689994
302,168.67688705689994
303,147.74336249711277
304,178.48663636064614
305,219.16630764939458
306,219.16630764939458
307,219.16630764939458
308,219.16630764939458
309,219.16630764939458
310,196.0664021448835
311,178.48663636064614
312,219.16630764939458
313,219.16630764939458
314,219.16630764939458
315,219.16630764939458
316,219.16630764939458
317,196.0664021448835
318,178.48663636064614
319,219.16630764939458
320,219.16630764939458
321,219.16630764939458
322,219.16630764939458
323,219.16630764939458
324,196.0664021448835
325,178.48663636064614
326,219.16630764939458
327,219.16630764939458
328,219.16630764939458
329,219.16630764939458
330,219.16630764939458
331,196.0664021448835
332,178.48663636064614
333,219.16630764939458
334,223.12305273948454
335,223.12305273948454
336,223.12305273948454
337,223.12305273948454
338,199.29511111097057
339,180.4745397225192
340,223.12305273948454
341,223.12305273948454
342,223.12305273948454
343,223.12305273948454
344,223.12305273948454
345,199.29511111097057
346,180.4745397225192
347,223.12305273948454
348,223.12305273948454
349,223.12305273948454
350,223.12305273948454
351,223.12305273948454
352,199.29511111097057
353,180.4745397225192
