,YY,MM,DD,VAL
0,2016,12,31,61.96499899
1,2017,1,1,35.126666
2,2017,1,2,44.46
3,2017,1,3,37.36499899
4,2017,1,4,11.743333
5,2017,1,5,12.081666
6,2017,1,6,31.13249899
7,2017,1,7,40.29333199
8,2017,1,8,64.185
9,2017,1,9,69.24666499
10,2017,1,10,45.50499899
11,2017,1,11,55.52583299
12,2017,1,12,26.68583299
13,2017,1,13,4.79916599
14,2017,1,14,4.24833299
15,2017,1,15,2.504166
16,2017,1,16,5.8075
17,2017,1,17,26.954999
18,2017,1,18,39.383333
19,2017,1,19,53.37249899
20,2017,1,20,65.625833
21,2017,1,21,40.62083299
22,2017,1,22,18.260833
23,2017,1,23,16.793333
24,2017,1,24,45.343333
25,2017,1,25,74.21166599
26,2017,1,26,85.44166699
27,2017,1,27,116.11583299
28,2017,1,28,134.53
29,2017,1,29,157.119167
30,2017,1,30,206.577501
31,2017,1,31,215.66583399
32,2017,2,1,109.704998
33,2017,2,2,16.6975
34,2017,2,3,15.393333
35,2017,2,4,16.626666
36,2017,2,5,11.920833
37,2017,2,6,14.895833
38,2017,2,7,33.734
39,2017,2,8,37.840833
40,2017,2,9,49.2425
41,2017,2,10,23.919166
42,2017,2,11,32.85333299
43,2017,2,12,47.91166599
44,2017,2,13,48.125833
45,2017,2,14,30.945833
46,2017,2,15,39.742499
47,2017,2,16,40.21666599
48,2017,2,17,73.324999
49,2017,2,18,77.91333299
50,2017,2,19,90.05000099
51,2017,2,20,75.89583299
52,2017,2,21,56.064166
53,2017,2,22,67.310833
54,2017,2,23,68.39583199
55,2017,2,24,21.60833299
56,2017,2,25,30.67749999
57,2017,2,26,53.21333299
58,2017,2,27,35.994166
59,2017,2,28,12.380833
60,2017,3,1,23.032499
61,2017,3,2,28.2725
62,2017,3,3,23.996666
63,2017,3,4,10.970833
64,2017,3,5,7.3425
65,2017,3,6,6.598333
66,2017,3,7,10.205
67,2017,3,8,27.8425
68,2017,3,9,18.84
69,2017,3,10,13.691666
70,2017,3,11,26.90166599
71,2017,3,12,29.65166599
72,2017,3,13,47.615833
73,2017,3,14,61.880834
74,2017,3,15,87.118333
75,2017,3,16,103.298334
76,2017,3,17,54.799166
77,2017,3,18,40.464167
78,2017,3,19,79.858333
79,2017,3,20,95.608332
80,2017,3,21,49.67
81,2017,3,22,20.66666599
82,2017,3,23,13.02
83,2017,3,24,20.8
84,2017,3,25,10.31916599
85,2017,3,26,17.140833
86,2017,3,27,18.649999
87,2017,3,28,19.8825
88,2017,3,29,20.89999999
89,2017,3,30,26.003332
90,2017,3,31,30.58833299
91,2017,4,1,19.736666
92,2017,4,2,18.239166
93,2017,4,3,16.239166
94,2017,4,4,13.100833
95,2017,4,5,17.579999
96,2017,4,6,25.7725
97,2017,4,7,35.1925
98,2017,4,8,28.20666699
99,2017,4,9,29.250833
100,2017,4,10,23.8075
101,2017,4,11,23.028333
102,2017,4,12,25.64999999
103,2017,4,13,27.521666
104,2017,4,14,24.093333
105,2017,4,15,12.396666
106,2017,4,16,8.20083299
107,2017,4,17,10.1975
108,2017,4,18,6.93749899
109,2017,4,19,7.313333
110,2017,4,20,16.424166
111,2017,4,21,22.646666
112,2017,4,22,22.958333
113,2017,4,23,24.163333
114,2017,4,24,24.8475
115,2017,4,25,10.7825
116,2017,4,26,7.711666
117,2017,4,27,5.553333
118,2017,4,28,8.62083299
119,2017,4,29,13.844166
120,2017,4,30,11.440833
121,2017,5,1,8.026666
122,2017,5,2,4.008333
123,2017,5,3,8.0425
124,2017,5,4,9.41666599
125,2017,5,5,12.19416599
126,2017,5,6,12.816666
127,2017,5,7,8.1925
128,2017,5,8,8.29833299
129,2017,5,9,12.143333
130,2017,5,10,19.787499
131,2017,5,11,12.563333
132,2017,5,12,8.903333
133,2017,5,13,15.769166
134,2017,5,14,9.6675
135,2017,5,15,11.339999
136,2017,5,16,16.258333
137,2017,5,17,18.70583299
138,2017,5,18,16.184166
139,2017,5,19,5.01999999
140,2017,5,20,6.348333
141,2017,5,21,13.52999999
142,2017,5,22,18.654166
143,2017,5,23,11.421666
144,2017,5,24,20.25
145,2017,5,25,14.37083299
146,2017,5,26,17.676666
147,2017,5,27,19.731666
148,2017,5,28,24.399166
149,2017,5,29,27.246666
150,2017,5,30,20.419166
151,2017,5,31,18.48333299
152,2017,6,1,17.76249899
153,2017,6,2,14.332499
154,2017,6,3,12.364166
155,2017,6,4,6.07166599
156,2017,6,5,5.29416599
157,2017,6,6,5.178333
158,2017,6,7,10.601666
159,2017,6,8,18.085
160,2017,6,9,20.590833
161,2017,6,10,22.08916599
162,2017,6,11,26.305
163,2017,6,12,30.898333
164,2017,6,13,30.793333
165,2017,6,14,20.724166
166,2017,6,15,13.044166
167,2017,6,16,6.32
168,2017,6,17,14.992499
169,2017,6,18,13.525833
170,2017,6,19,20.805833
171,2017,6,20,22.99083299
172,2017,6,21,25.4025
173,2017,6,22,28.189166
174,2017,6,23,28.306666
175,2017,6,24,15.82583299
176,2017,6,25,15.5625
177,2017,6,26,6.718333
178,2017,6,27,8.786666
179,2017,6,28,6.2575
180,2017,6,29,5.15166599
181,2017,6,30,5.82166599
182,2017,7,1,5.97166599
183,2017,7,2,7.115
184,2017,7,3,17.265833
185,2017,7,4,18.94999999
186,2017,7,5,23.578333
187,2017,7,6,25.67916599
188,2017,7,7,27.12249999
189,2017,7,8,12.834166
190,2017,7,9,18.82499999
191,2017,7,10,16.12416599
192,2017,7,11,18.20166599
193,2017,7,12,12.545
194,2017,7,13,13.750833
195,2017,7,14,9.35333299
196,2017,7,15,9.16999999
197,2017,7,16,8.91666599
198,2017,7,17,15.2775
199,2017,7,18,20.58833299
200,2017,7,19,23.573333
201,2017,7,20,24.94999899
202,2017,7,21,13.975
203,2017,7,22,14.79166599
204,2017,7,23,9.421666
205,2017,7,24,4.3125
206,2017,7,25,3.3325
207,2017,7,26,6.48166599
208,2017,7,27,22.60499899
209,2017,7,28,18.782499
210,2017,7,29,14.3725
211,2017,7,30,11.93249999
212,2017,7,31,20.975833
213,2017,8,1,25.75
214,2017,8,2,30.335
215,2017,8,3,32.23999899
216,2017,8,4,33.939999
217,2017,8,5,20.95083299
218,2017,8,6,6.978333
219,2017,8,7,9.375
220,2017,8,8,8.936666
221,2017,8,9,15.1775
222,2017,8,10,6.7575
223,2017,8,11,4.71416599
224,2017,8,12,6.96416599
225,2017,8,13,7.16833299
226,2017,8,14,10.314166
227,2017,8,15,11.498333
228,2017,8,16,15.787499
229,2017,8,17,15.795
230,2017,8,18,5.95249999
231,2017,8,19,5.86749999
232,2017,8,20,9.32583299
233,2017,8,21,11.635833
234,2017,8,22,0.0
235,2017,8,23,0.0
236,2017,8,24,23.724999
237,2017,8,25,19.216666
238,2017,8,26,16.410833
239,2017,8,27,21.305833
240,2017,8,28,22.149999
241,2017,8,29,17.565833
242,2017,8,30,22.0975
243,2017,8,31,6.500833
244,2017,9,1,3.733333
245,2017,9,2,6.0175
246,2017,9,3,10.185
247,2017,9,4,13.130833
248,2017,9,5,14.869166
249,2017,9,6,14.9725
250,2017,9,7,9.204999
251,2017,9,8,8.025833
252,2017,9,9,4.8825
253,2017,9,10,5.87833299
254,2017,9,11,7.7975
255,2017,9,12,9.580833
256,2017,9,13,8.794999
257,2017,9,14,7.13999999
258,2017,9,15,6.478333
259,2017,9,16,5.56666599
260,2017,9,17,6.48666599
261,2017,9,18,6.835
262,2017,9,19,7.0175
263,2017,9,20,7.6875
264,2017,9,21,11.619166
265,2017,9,22,15.014999
266,2017,9,23,8.33583299
267,2017,9,24,9.484166
268,2017,9,25,15.11499899
269,2017,9,26,20.1
270,2017,9,27,0.0
271,2017,9,28,0.0
272,2017,9,29,27.344999
273,2017,9,30,28.311667
274,2017,10,1,33.540832
275,2017,10,2,33.359166
276,2017,10,3,33.34
277,2017,10,4,21.508333
278,2017,10,5,13.5975
279,2017,10,6,9.250833
280,2017,10,7,15.429166
281,2017,10,8,16.00749899
282,2017,10,9,22.01333299
283,2017,10,10,33.55083299
284,2017,10,11,40.843333
285,2017,10,12,35.58833299
286,2017,10,13,26.621666
287,2017,10,14,20.579999
288,2017,10,15,16.781666
289,2017,10,16,28.281666
290,2017,10,17,47.88583299
291,2017,10,18,74.588333
292,2017,10,19,112.164167
293,2017,10,20,114.877499
294,2017,10,21,74.78666699
295,2017,10,22,5.82749999
296,2017,10,23,12.384166
297,2017,10,24,27.24166599
298,2017,10,25,34.436666
299,2017,10,26,41.985833
300,2017,10,27,32.18416599
301,2017,10,28,13.368333
302,2017,10,29,25.9525
303,2017,10,30,23.879999
304,2017,10,31,39.17666599
305,2017,11,1,40.954166
306,2017,11,2,36.11249999
307,2017,11,3,45.79666699
308,2017,11,4,28.223333
309,2017,11,5,9.59499899
310,2017,11,6,18.966666
311,2017,11,7,16.426666
312,2017,11,8,19.87249999
313,2017,11,9,14.615833
314,2017,11,10,27.298333
315,2017,11,11,31.44
316,2017,11,12,5.955833
317,2017,11,13,13.52333299
318,2017,11,14,22.328333
319,2017,11,15,20.698333
320,2017,11,16,26.265833
321,2017,11,17,29.344166
322,2017,11,18,21.460833
323,2017,11,19,20.174166
324,2017,11,20,19.03818199
325,2017,11,21,52.017499
326,2017,11,22,97.109999
327,2017,11,23,50.875
328,2017,11,24,45.500832
329,2017,11,25,8.46583299
330,2017,11,26,12.40583299
331,2017,11,27,29.21333299
332,2017,11,28,48.0525
333,2017,11,29,20.968333
334,2017,11,30,15.293333
335,2017,12,1,22.906666
336,2017,12,2,24.07499999
337,2017,12,3,57.758333
338,2017,12,4,49.460833
339,2017,12,5,47.91833299
340,2017,12,6,21.56999899
341,2017,12,7,61.133332
342,2017,12,8,9.60166599
343,2017,12,9,9.884999
344,2017,12,10,21.425833
345,2017,12,11,25.24083299
346,2017,12,12,12.885833
347,2017,12,13,20.07666599
348,2017,12,14,31.2225
349,2017,12,15,24.61749899
350,2017,12,16,11.169166
351,2017,12,17,14.26
352,2017,12,18,27.904166
353,2017,12,19,50.31583299
354,2017,12,20,51.431666
355,2017,12,21,83.31416699
356,2017,12,22,88.769165
357,2017,12,23,66.279999
358,2017,12,24,41.623334
359,2017,12,25,48.710833
360,2017,12,26,9.738333
361,2017,12,27,5.4
362,2017,12,28,7.19833299
363,2017,12,29,11.493333
364,2017,12,30,42.73499999
