,YY,MM,DD,VAL
0,2020,12,31,24.93415999
1,2021,1,1,11.83417
2,2021,1,2,11.29917
3,2021,1,3,18.56333
4,2021,1,4,12.77582999
5,2021,1,5,13.81667
6,2021,1,6,17.59833
7,2021,1,7,10.005
8,2021,1,8,13.76249999
9,2021,1,9,16.54333
10,2021,1,10,21.76082999
11,2021,1,11,25.89833
12,2021,1,12,20.83333
13,2021,1,13,38.02666
14,2021,1,14,29.58583
15,2021,1,15,41.07083
16,2021,1,16,52.88665999
17,2021,1,17,96.89331
18,2021,1,18,75.38080999
19,2021,1,19,102.56995
20,2021,1,20,88.98578
21,2021,1,21,16.08916999
22,2021,1,22,8.39082999
23,2021,1,23,7.80667
24,2021,1,24,12.3125
25,2021,1,25,5.39667
26,2021,1,26,6.20417
27,2021,1,27,12.46667
28,2021,1,28,46.47916
29,2021,1,29,18.84833
30,2021,1,30,33.37749999
31,2021,1,31,34.37666
32,2021,2,1,57.09998
33,2021,2,2,79.18083
34,2021,2,3,43.44666999
35,2021,2,4,45.55749999
36,2021,2,5,42.54249999
37,2021,2,6,17.60416
38,2021,2,7,5.95249999
39,2021,2,8,15.03999999
40,2021,2,9,13.56417
41,2021,2,10,14.80583
42,2021,2,11,16.47916
43,2021,2,12,20.26416
44,2021,2,13,23.91499999
45,2021,2,14,17.30833
46,2021,2,15,22.13917
47,2021,2,16,25.49082999
48,2021,2,17,62.19415999
49,2021,2,18,74.85665
50,2021,2,19,67.11248999
51,2021,2,20,57.7
52,2021,2,21,64.44082
53,2021,2,22,70.65664999
54,2021,2,23,87.37413999
55,2021,2,24,80.5925
56,2021,2,25,68.40999999
57,2021,2,26,69.92166
58,2021,2,27,16.89917
59,2021,2,28,28.37583
60,2021,3,1,32.9825
61,2021,3,2,44.6325
62,2021,3,3,38.9125
63,2021,3,4,44.26917
64,2021,3,5,29.70582999
65,2021,3,6,24.03332999
66,2021,3,7,42.00916
67,2021,3,8,45.93166
68,2021,3,9,32.01749999
69,2021,3,10,39.31416999
70,2021,3,11,43.18166999
71,2021,3,12,32.53667
72,2021,3,13,11.01333
73,2021,3,14,2.4975
74,2021,3,15,4.65833
75,2021,3,16,3.59249999
76,2021,3,17,9.51833
77,2021,3,18,14.74083
78,2021,3,19,11.58916999
79,2021,3,20,15.32333
80,2021,3,21,24.37999999
81,2021,3,22,16.56917
82,2021,3,23,37.40583
83,2021,3,24,43.95165999
84,2021,3,25,49.2175
85,2021,3,26,29.9575
86,2021,3,27,20.65832999
87,2021,3,28,20.47666999
88,2021,3,29,41.63499999
89,2021,3,30,0.0
90,2021,3,31,0.0
