,YY,MM,DD,VAL
195,2015,7,14,28.903333
196,2015,7,15,31.410833
197,2015,7,16,29.08083299
198,2015,7,17,17.42
199,2015,7,18,24.44333299
200,2015,7,19,29.719999
201,2015,7,20,28.13749899
202,2015,7,21,32.51749999
203,2015,7,22,26.03416599
204,2015,7,23,26.294166
205,2015,7,24,12.248333
206,2015,7,25,9.3475
207,2015,7,26,13.190833
208,2015,7,27,23.69
209,2015,7,28,20.13083299
210,2015,7,29,14.654166
211,2015,7,30,13.168333
212,2015,7,31,12.10333299
213,2015,8,1,11.266666
214,2015,8,2,16.95666599
215,2015,8,3,23.65166599
216,2015,8,4,18.46249999
217,2015,8,5,22.04749899
218,2015,8,6,27.196666
219,2015,8,7,28.785
220,2015,8,8,18.53333299
221,2015,8,9,13.842499
222,2015,8,10,24.92083299
223,2015,8,11,26.57583299
224,2015,8,12,26.54749899
225,2015,8,13,29.084999
226,2015,8,14,16.48416599
227,2015,8,15,5.9375
228,2015,8,16,6.43499999
229,2015,8,17,7.5975
230,2015,8,18,7.393333
231,2015,8,19,7.353333
232,2015,8,20,9.37833299
233,2015,8,21,16.145
234,2015,8,22,13.954166
235,2015,8,23,14.459166
236,2015,8,24,19.404999
237,2015,8,25,18.462499
238,2015,8,26,20.47249899
239,2015,8,27,19.988333
240,2015,8,28,19.844166
241,2015,8,29,19.469166
242,2015,8,30,20.259166
243,2015,8,31,21.879166
244,2015,9,1,15.011666
245,2015,9,2,8.27083299
246,2015,9,3,9.76416599
247,2015,9,4,7.211666
248,2015,9,5,5.39166599
249,2015,9,6,7.920833
250,2015,9,7,10.2125
251,2015,9,8,11.491666
252,2015,9,9,12.125833
253,2015,9,10,12.24
254,2015,9,11,17.31999899
255,2015,9,12,13.150833
256,2015,9,13,11.592499
257,2015,9,14,10.449166
258,2015,9,15,9.765833
259,2015,9,16,24.419999
260,2015,9,17,17.9675
261,2015,9,18,12.9725
262,2015,9,19,5.36916599
263,2015,9,20,8.87916599
264,2015,9,21,17.315833
265,2015,9,22,7.546666
266,2015,9,23,7.364166
267,2015,9,24,10.16666599
268,2015,9,25,17.82666599
269,2015,9,26,14.705833
270,2015,9,27,15.002499
271,2015,9,28,13.443333
272,2015,9,29,15.45083299
273,2015,9,30,13.66499999
274,2015,10,1,15.855
275,2015,10,2,10.565
276,2015,10,3,7.1275
277,2015,10,4,12.60249999
278,2015,10,5,21.690833
279,2015,10,6,22.356666
280,2015,10,7,14.0625
281,2015,10,8,13.529999
282,2015,10,9,10.810833
283,2015,10,10,17.5025
284,2015,10,11,20.716666
285,2015,10,12,11.963333
286,2015,10,13,6.665833
287,2015,10,14,4.87416599
288,2015,10,15,9.35249999
289,2015,10,16,19.95166599
290,2015,10,17,21.653333
291,2015,10,18,22.99083299
292,2015,10,19,15.555833
