,YY,MM,DD,VAL
0,2014,12,31,57.0
1,2015,1,1,90.0
2,2015,1,2,70.0
3,2015,1,3,41.0
4,2015,1,4,32.0
5,2015,1,5,75.0
6,2015,1,6,72.0
7,2015,1,7,71.0
8,2015,1,8,97.0
9,2015,1,9,131.0
10,2015,1,10,89.0
11,2015,1,11,36.0
12,2015,1,12,55.0
13,2015,1,13,69.0
14,2015,1,14,68.0
15,2015,1,15,32.0
16,2015,1,16,24.0
17,2015,1,17,0.0
18,2015,1,18,0.0
19,2015,1,19,54.0
20,2015,1,20,33.0
21,2015,1,21,20.0
22,2015,1,22,35.0
23,2015,1,23,19.0
24,2015,1,24,24.0
25,2015,1,25,34.0
26,2015,1,26,57.0
27,2015,1,27,48.0
28,2015,1,28,71.0
29,2015,1,29,37.0
30,2015,1,30,32.0
31,2015,1,31,39.0
32,2015,2,1,47.0
33,2015,2,2,45.0
34,2015,2,3,29.0
35,2015,2,4,7.0
36,2015,2,5,11.0
37,2015,2,6,23.0
38,2015,2,7,31.0
39,2015,2,8,36.0
40,2015,2,9,79.0
41,2015,2,10,100.0
42,2015,2,11,89.0
43,2015,2,12,75.0
44,2015,2,13,58.0
45,2015,2,14,18.0
46,2015,2,15,15.0
47,2015,2,16,37.0
48,2015,2,17,67.0
49,2015,2,18,80.0
50,2015,2,19,121.0
51,2015,2,20,75.0
52,2015,2,21,7.0
53,2015,2,22,35.0
54,2015,2,23,29.0
55,2015,2,24,20.0
56,2015,2,25,32.0
57,2015,2,26,34.0
58,2015,2,27,47.0
59,2015,2,28,56.0
60,2015,3,1,66.0
61,2015,3,2,35.0
62,2015,3,3,35.0
63,2015,3,4,2.0
64,2015,3,5,17.0
65,2015,3,6,36.0
66,2015,3,7,40.0
67,2015,3,8,56.0
68,2015,3,9,70.0
69,2015,3,10,86.0
70,2015,3,11,0.0
71,2015,3,12,38.0
72,2015,3,13,42.0
73,2015,3,14,35.0
74,2015,3,15,0.0
75,2015,3,16,32.0
76,2015,3,17,62.0
77,2015,3,18,61.0
78,2015,3,19,47.0
79,2015,3,20,63.0
80,2015,3,21,16.0
81,2015,3,22,0.0
82,2015,3,23,0.0
83,2015,3,24,21.0
84,2015,3,25,11.0
85,2015,3,26,10.0
86,2015,3,27,16.0
87,2015,3,28,15.0
88,2015,3,29,32.0
89,2015,3,30,43.0
90,2015,3,31,0.0
91,2015,4,1,25.0
92,2015,4,2,11.0
93,2015,4,3,14.0
94,2015,4,4,2.0
95,2015,4,5,9.0
96,2015,4,6,11.0
97,2015,4,7,35.0
98,2015,4,8,42.0
99,2015,4,9,35.0
100,2015,4,10,38.0
101,2015,4,11,47.0
102,2015,4,12,57.0
103,2015,4,13,55.0
104,2015,4,14,46.0
105,2015,4,15,62.0
106,2015,4,16,31.0
107,2015,4,17,20.0
108,2015,4,18,9.0
109,2015,4,19,31.0
110,2015,4,20,42.0
111,2015,4,21,43.0
112,2015,4,22,41.0
113,2015,4,23,34.0
114,2015,4,24,40.0
115,2015,4,25,47.0
116,2015,4,26,19.0
117,2015,4,27,16.0
118,2015,4,28,15.0
119,2015,4,29,22.0
120,2015,4,30,35.0
121,2015,5,1,28.0
122,2015,5,2,30.0
123,2015,5,3,51.0
124,2015,5,4,53.0
125,2015,5,5,45.0
126,2015,5,6,25.0
127,2015,5,7,28.0
128,2015,5,8,15.0
129,2015,5,9,9.0
130,2015,5,10,21.0
131,2015,5,11,24.0
132,2015,5,12,45.0
133,2015,5,13,45.0
134,2015,5,14,13.0
135,2015,5,15,19.0
136,2015,5,16,19.0
137,2015,5,17,29.0
138,2015,5,18,30.0
139,2015,5,19,16.0
140,2015,5,20,8.0
141,2015,5,21,12.0
142,2015,5,22,11.0
143,2015,5,23,8.0
144,2015,5,24,24.0
145,2015,5,25,18.0
146,2015,5,26,7.0
147,2015,5,27,13.0
148,2015,5,28,27.0
149,2015,5,29,38.0
150,2015,5,30,26.0
151,2015,5,31,30.0
152,2015,6,1,27.0
153,2015,6,2,43.0
154,2015,6,3,35.0
155,2015,6,4,40.0
156,2015,6,5,47.0
157,2015,6,6,18.0
158,2015,6,7,32.0
159,2015,6,8,27.0
160,2015,6,9,34.0
161,2015,6,10,51.0
162,2015,6,11,42.0
163,2015,6,12,43.0
164,2015,6,13,40.0
165,2015,6,14,24.0
166,2015,6,15,25.0
167,2015,6,16,17.0
168,2015,6,17,29.0
169,2015,6,18,31.0
170,2015,6,19,9.0
171,2015,6,20,11.0
172,2015,6,21,28.0
173,2015,6,22,20.0
174,2015,6,23,7.0
175,2015,6,24,21.0
176,2015,6,25,36.0
177,2015,6,26,35.0
178,2015,6,27,24.0
179,2015,6,28,22.0
180,2015,6,29,51.0
181,2015,6,30,33.0
182,2015,7,1,43.0
183,2015,7,2,47.0
184,2015,7,3,44.0
185,2015,7,4,46.0
186,2015,7,5,53.0
187,2015,7,6,67.0
188,2015,7,7,55.0
189,2015,7,8,16.0
190,2015,7,9,16.0
191,2015,7,10,39.0
192,2015,7,11,33.0
193,2015,7,12,42.0
194,2015,7,13,39.0
195,2015,7,14,40.0
196,2015,7,15,44.0
197,2015,7,16,46.0
198,2015,7,17,37.0
199,2015,7,18,49.0
200,2015,7,19,52.0
201,2015,7,20,49.0
202,2015,7,21,57.0
203,2015,7,22,62.0
204,2015,7,23,29.0
205,2015,7,24,30.0
206,2015,7,25,13.0
207,2015,7,26,23.0
208,2015,7,27,22.0
209,2015,7,28,41.0
210,2015,7,29,12.0
211,2015,7,30,5.0
212,2015,7,31,22.0
213,2015,8,1,21.0
214,2015,8,2,31.0
215,2015,8,3,31.0
216,2015,8,4,42.0
217,2015,8,5,39.0
218,2015,8,6,49.0
219,2015,8,7,39.0
220,2015,8,8,38.0
221,2015,8,9,37.0
222,2015,8,10,46.0
223,2015,8,11,45.0
224,2015,8,12,49.0
225,2015,8,13,46.0
226,2015,8,14,39.0
227,2015,8,15,17.0
228,2015,8,16,18.0
229,2015,8,17,23.0
230,2015,8,18,12.0
231,2015,8,19,15.0
232,2015,8,20,13.0
233,2015,8,21,23.0
234,2015,8,22,27.0
235,2015,8,23,22.0
236,2015,8,24,26.0
237,2015,8,25,0.0
238,2015,8,26,0.0
239,2015,8,27,0.0
240,2015,8,28,49.0
241,2015,8,29,32.0
242,2015,8,30,47.0
243,2015,8,31,34.0
244,2015,9,1,51.0
245,2015,9,2,28.0
246,2015,9,3,26.0
247,2015,9,4,20.0
248,2015,9,5,11.0
249,2015,9,6,14.0
250,2015,9,7,13.0
251,2015,9,8,24.0
252,2015,9,9,21.0
253,2015,9,10,31.0
254,2015,9,11,37.0
255,2015,9,12,34.0
256,2015,9,13,27.0
257,2015,9,14,23.0
258,2015,9,15,33.0
259,2015,9,16,42.0
260,2015,9,17,32.0
261,2015,9,18,25.0
262,2015,9,19,21.0
263,2015,9,20,11.0
264,2015,9,21,23.0
265,2015,9,22,15.0
266,2015,9,23,23.0
267,2015,9,24,21.0
268,2015,9,25,24.0
269,2015,9,26,15.0
270,2015,9,27,10.0
271,2015,9,28,23.0
272,2015,9,29,18.0
