,YY,MM,DD,VAL
0,2012,12,31,88.0
1,2013,1,1,31.0
2,2013,1,2,20.0
3,2013,1,3,56.0
4,2013,1,4,75.0
5,2013,1,5,140.0
6,2013,1,6,113.0
7,2013,1,7,74.0
8,2013,1,8,63.0
9,2013,1,9,69.0
10,2013,1,10,63.0
11,2013,1,11,47.0
12,2013,1,12,52.0
13,2013,1,13,15.0
14,2013,1,14,22.0
15,2013,1,15,4.0
16,2013,1,16,10.0
17,2013,1,17,35.0
18,2013,1,18,61.0
19,2013,1,19,33.0
20,2013,1,20,35.0
21,2013,1,21,35.0
22,2013,1,22,28.0
23,2013,1,23,31.0
24,2013,1,24,26.0
25,2013,1,25,41.0
26,2013,1,26,81.0
27,2013,1,27,74.0
28,2013,1,28,45.0
29,2013,1,29,51.0
30,2013,1,30,58.0
31,2013,1,31,80.0
32,2013,2,1,41.0
33,2013,2,2,2.0
34,2013,2,3,37.0
35,2013,2,4,59.0
36,2013,2,5,40.0
37,2013,2,6,40.0
38,2013,2,7,44.0
39,2013,2,8,42.0
40,2013,2,9,32.0
41,2013,2,10,29.0
42,2013,2,11,27.0
43,2013,2,12,46.0
44,2013,2,13,44.0
45,2013,2,14,67.0
46,2013,2,15,61.0
47,2013,2,16,33.0
48,2013,2,17,31.0
49,2013,2,18,60.0
50,2013,2,19,79.0
51,2013,2,20,18.0
52,2013,2,21,21.0
53,2013,2,22,29.0
54,2013,2,23,12.0
55,2013,2,24,0.0
56,2013,2,25,25.0
57,2013,2,26,30.0
58,2013,2,27,24.0
59,2013,2,28,58.0
60,2013,3,1,46.0
61,2013,3,2,65.0
62,2013,3,3,60.0
63,2013,3,4,49.0
64,2013,3,5,30.0
65,2013,3,6,20.0
66,2013,3,7,26.0
67,2013,3,8,22.0
68,2013,3,9,24.0
69,2013,3,10,29.0
70,2013,3,11,32.0
71,2013,3,12,23.0
72,2013,3,13,8.0
73,2013,3,14,6.0
74,2013,3,15,21.0
75,2013,3,16,27.0
76,2013,3,17,13.0
77,2013,3,18,14.0
78,2013,3,19,23.0
79,2013,3,20,15.0
80,2013,3,21,25.0
81,2013,3,22,35.0
82,2013,3,23,15.0
83,2013,3,24,16.0
84,2013,3,25,20.0
85,2013,3,26,29.0
86,2013,3,27,45.0
87,2013,3,28,29.0
88,2013,3,29,30.0
89,2013,3,30,9.0
90,2013,3,31,12.0
91,2013,4,1,24.0
92,2013,4,2,23.0
93,2013,4,3,27.0
94,2013,4,4,11.0
95,2013,4,5,15.0
96,2013,4,6,12.0
97,2013,4,7,16.0
