,YY,MM,DD,VAL
0,2013,12,31,64.0
1,2014,1,1,37.0
2,2014,1,2,40.0
3,2014,1,3,36.0
4,2014,1,4,18.0
5,2014,1,5,88.0
6,2014,1,6,80.0
7,2014,1,7,71.0
8,2014,1,8,69.0
9,2014,1,9,82.0
10,2014,1,10,85.0
11,2014,1,11,53.0
12,2014,1,12,60.0
13,2014,1,13,14.0
14,2014,1,14,37.0
15,2014,1,15,41.0
16,2014,1,16,20.0
17,2014,1,17,25.0
18,2014,1,18,16.0
19,2014,1,19,25.0
20,2014,1,20,41.0
21,2014,1,21,43.0
22,2014,1,22,57.0
23,2014,1,23,28.0
24,2014,1,24,37.0
25,2014,1,25,38.0
26,2014,1,26,59.0
27,2014,1,27,28.0
28,2014,1,28,39.0
29,2014,1,29,23.0
30,2014,1,30,30.0
31,2014,1,31,25.0
32,2014,2,1,20.0
33,2014,2,2,9.0
34,2014,2,3,17.0
35,2014,2,4,19.0
36,2014,2,5,0.0
37,2014,2,6,26.0
38,2014,2,7,22.0
39,2014,2,8,8.0
40,2014,2,9,12.0
41,2014,2,10,18.0
42,2014,2,11,16.0
43,2014,2,12,32.0
44,2014,2,13,14.0
45,2014,2,14,31.0
46,2014,2,15,38.0
47,2014,2,16,20.0
48,2014,2,17,40.0
49,2014,2,18,24.0
50,2014,2,19,12.0
51,2014,2,20,26.0
52,2014,2,21,5.0
53,2014,2,22,10.0
54,2014,2,23,23.0
55,2014,2,24,47.0
56,2014,2,25,43.0
57,2014,2,26,25.0
58,2014,2,27,0.0
59,2014,2,28,6.0
60,2014,3,1,16.0
61,2014,3,2,26.0
62,2014,3,3,19.0
63,2014,3,4,29.0
64,2014,3,5,27.0
65,2014,3,6,43.0
66,2014,3,7,48.0
67,2014,3,8,56.0
68,2014,3,9,31.0
69,2014,3,10,49.0
70,2014,3,11,52.0
71,2014,3,12,67.0
72,2014,3,13,74.0
73,2014,3,14,105.0
74,2014,3,15,110.0
75,2014,3,16,107.0
76,2014,3,17,113.0
77,2014,3,18,129.0
78,2014,3,19,72.0
79,2014,3,20,66.0
80,2014,3,21,43.0
81,2014,3,22,2.0
82,2014,3,23,6.0
83,2014,3,24,10.0
84,2014,3,25,14.0
85,2014,3,26,17.0
86,2014,3,27,22.0
87,2014,3,28,29.0
88,2014,3,29,43.0
89,2014,3,30,53.0
90,2014,3,31,53.0
91,2014,4,1,54.0
92,2014,4,2,63.0
93,2014,4,3,37.0
94,2014,4,4,24.0
95,2014,4,5,31.0
96,2014,4,6,40.0
97,2014,4,7,50.0
98,2014,4,8,21.0
99,2014,4,9,32.0
100,2014,4,10,32.0
101,2014,4,11,21.0
102,2014,4,12,26.0
103,2014,4,13,49.0
104,2014,4,14,11.0
105,2014,4,15,18.0
106,2014,4,16,29.0
107,2014,4,17,45.0
108,2014,4,18,17.0
109,2014,4,19,16.0
110,2014,4,20,12.0
111,2014,4,21,18.0
112,2014,4,22,39.0
113,2014,4,23,17.0
114,2014,4,24,22.0
115,2014,4,25,33.0
116,2014,4,26,13.0
117,2014,4,27,10.0
118,2014,4,28,16.0
119,2014,4,29,10.0
120,2014,4,30,15.0
121,2014,5,1,13.0
122,2014,5,2,9.0
123,2014,5,3,10.0
124,2014,5,4,17.0
125,2014,5,5,32.0
126,2014,5,6,33.0
127,2014,5,7,25.0
128,2014,5,8,36.0
129,2014,5,9,46.0
130,2014,5,10,11.0
131,2014,5,11,16.0
132,2014,5,12,2.0
133,2014,5,13,4.0
134,2014,5,14,6.0
135,2014,5,15,5.0
136,2014,5,16,20.0
137,2014,5,17,25.0
138,2014,5,18,21.0
139,2014,5,19,25.0
140,2014,5,20,37.0
141,2014,5,21,26.0
142,2014,5,22,23.0
143,2014,5,23,15.0
144,2014,5,24,25.0
145,2014,5,25,26.0
146,2014,5,26,14.0
147,2014,5,27,19.0
148,2014,5,28,16.0
149,2014,5,29,16.0
150,2014,5,30,5.0
151,2014,5,31,18.0
152,2014,6,1,15.0
153,2014,6,2,21.0
154,2014,6,3,38.0
155,2014,6,4,11.0
156,2014,6,5,35.0
157,2014,6,6,46.0
158,2014,6,7,45.0
159,2014,6,8,52.0
160,2014,6,9,42.0
161,2014,6,10,43.0
162,2014,6,11,37.0
163,2014,6,12,21.0
164,2014,6,13,8.0
165,2014,6,14,8.0
166,2014,6,15,7.0
167,2014,6,16,11.0
168,2014,6,17,15.0
169,2014,6,18,14.0
170,2014,6,19,24.0
171,2014,6,20,20.0
172,2014,6,21,25.0
173,2014,6,22,33.0
174,2014,6,23,23.0
175,2014,6,24,6.0
176,2014,6,25,16.0
177,2014,6,26,17.0
178,2014,6,27,24.0
179,2014,6,28,14.0
180,2014,6,29,2.0
181,2014,6,30,14.0
182,2014,7,1,13.0
183,2014,7,2,15.0
184,2014,7,3,27.0
185,2014,7,4,30.0
186,2014,7,5,31.0
187,2014,7,6,30.0
188,2014,7,7,6.0
189,2014,7,8,2.0
190,2014,7,9,10.0
191,2014,7,10,20.0
192,2014,7,11,18.0
193,2014,7,12,13.0
194,2014,7,13,9.0
195,2014,7,14,13.0
196,2014,7,15,23.0
197,2014,7,16,30.0
198,2014,7,17,18.0
199,2014,7,18,27.0
200,2014,7,19,28.0
201,2014,7,20,14.0
202,2014,7,21,14.0
203,2014,7,22,20.0
204,2014,7,23,12.0
205,2014,7,24,23.0
206,2014,7,25,17.0
207,2014,7,26,12.0
208,2014,7,27,20.0
209,2014,7,28,10.0
210,2014,7,29,7.0
211,2014,7,30,27.0
212,2014,7,31,19.0
213,2014,8,1,19.0
214,2014,8,2,18.0
215,2014,8,3,22.0
216,2014,8,4,20.0
217,2014,8,5,12.0
218,2014,8,6,26.0
219,2014,8,7,26.0
220,2014,8,8,25.0
221,2014,8,9,27.0
222,2014,8,10,39.0
223,2014,8,11,39.0
224,2014,8,12,25.0
225,2014,8,13,8.0
226,2014,8,14,10.0
227,2014,8,15,2.0
228,2014,8,16,7.0
229,2014,8,17,21.0
230,2014,8,18,21.0
231,2014,8,19,16.0
232,2014,8,20,10.0
233,2014,8,21,20.0
234,2014,8,22,14.0
235,2014,8,23,12.0
236,2014,8,24,13.0
237,2014,8,25,31.0
238,2014,8,26,31.0
239,2014,8,27,8.0
240,2014,8,28,21.0
241,2014,8,29,18.0
242,2014,8,30,11.0
243,2014,8,31,2.0
244,2014,9,1,8.0
245,2014,9,2,13.0
246,2014,9,3,15.0
247,2014,9,4,16.0
248,2014,9,5,14.0
249,2014,9,6,16.0
250,2014,9,7,21.0
251,2014,9,8,31.0
252,2014,9,9,5.0
253,2014,9,10,2.0
254,2014,9,11,2.0
255,2014,9,12,11.0
256,2014,9,13,2.0
257,2014,9,14,12.0
258,2014,9,15,18.0
259,2014,9,16,7.0
260,2014,9,17,18.0
261,2014,9,18,23.0
262,2014,9,19,24.0
263,2014,9,20,31.0
264,2014,9,21,7.0
265,2014,9,22,12.0
266,2014,9,23,18.0
267,2014,9,24,32.0
268,2014,9,25,36.0
269,2014,9,26,50.0
270,2014,9,27,23.0
271,2014,9,28,18.0
272,2014,9,29,40.0
273,2014,9,30,35.0
274,2014,10,1,14.0
275,2014,10,2,28.0
276,2014,10,3,25.0
277,2014,10,4,26.0
278,2014,10,5,34.0
279,2014,10,6,57.0
280,2014,10,7,33.0
281,2014,10,8,44.0
282,2014,10,9,39.0
283,2014,10,10,33.0
284,2014,10,11,30.0
285,2014,10,12,18.0
286,2014,10,13,17.0
287,2014,10,14,18.0
288,2014,10,15,29.0
289,2014,10,16,27.0
290,2014,10,17,46.0
291,2014,10,18,41.0
292,2014,10,19,57.0
293,2014,10,20,46.0
294,2014,10,21,2.0
295,2014,10,22,25.0
296,2014,10,23,28.0
297,2014,10,24,27.0
298,2014,10,25,21.0
299,2014,10,26,33.0
300,2014,10,27,37.0
301,2014,10,28,60.0
302,2014,10,29,67.0
303,2014,10,30,68.0
304,2014,10,31,54.0
305,2014,11,1,60.0
306,2014,11,2,76.0
307,2014,11,3,33.0
308,2014,11,4,21.0
309,2014,11,5,9.0
310,2014,11,6,0.0
311,2014,11,7,0.0
312,2014,11,8,0.0
313,2014,11,9,0.0
314,2014,11,10,24.0
315,2014,11,11,13.0
316,2014,11,12,21.0
317,2014,11,13,28.0
318,2014,11,14,20.0
319,2014,11,15,7.0
320,2014,11,16,8.0
321,2014,11,17,10.0
322,2014,11,18,26.0
323,2014,11,19,37.0
324,2014,11,20,48.0
325,2014,11,21,39.0
326,2014,11,22,60.0
327,2014,11,23,68.0
328,2014,11,24,78.0
329,2014,11,25,51.0
330,2014,11,26,43.0
331,2014,11,27,46.0
332,2014,11,28,42.0
333,2014,11,29,41.0
334,2014,11,30,20.0
335,2014,12,1,21.0
336,2014,12,2,24.0
337,2014,12,3,16.0
338,2014,12,4,26.0
339,2014,12,5,33.0
340,2014,12,6,5.0
341,2014,12,7,28.0
342,2014,12,8,16.0
343,2014,12,9,31.0
344,2014,12,10,41.0
345,2014,12,11,61.0
346,2014,12,12,41.0
347,2014,12,13,41.0
348,2014,12,14,42.0
349,2014,12,15,41.0
350,2014,12,16,23.0
351,2014,12,17,32.0
352,2014,12,18,37.0
353,2014,12,19,49.0
354,2014,12,20,45.0
355,2014,12,21,41.0
356,2014,12,22,49.0
357,2014,12,23,47.0
358,2014,12,24,49.0
359,2014,12,25,31.0
360,2014,12,26,31.0
361,2014,12,27,35.0
362,2014,12,28,21.0
363,2014,12,29,35.0
364,2014,12,30,50.0
